Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;TP-LINK_2.4GHz_3989D2;60:E3:27:39:89:D2;;13;No;WPA2,AES-CCM;No;48.0;0;9;0;0;0;0;0;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Hostal Los Guerreros;DC:53:7C:8F:AB:D3;;13;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;22;0;4;0;0;4;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;C150APM;00:22:F7:23:83:30;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;14;0;0;0;0;0;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ONO92F3;DC:53:7C:7B:3A:88;;9;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;31;0;2;0;0;2;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;MOVISTAR_476C;E0:41:36:40:47:6C;;6;No;WPA2,AES-CCM;No;54.0;0;29;0;0;0;0;0;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;vodafone0EDA;90:67:1C:79:0E:E0;;1;No;WPA2,AES-CCM;No;54.0;0;24;0;1;0;0;1;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:59 2016;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;laboratorio wifi;80:B6:86:D5:F9:4B;;11;No;WEP;No;54.0;0;36;0;0;0;0;0;;;Mon Jun 13 20:43:47 2016;Mon Jun 13 20:43:57 2016;-43;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
