Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Orange-DC500;30:B5:C2:F4:16:F3;;4;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue May 31 10:51:43 2016;Tue May 31 10:51:55 2016;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;MARCELO;B8:05:AB:F4:E8:60;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Tue May 31 10:52:00 2016;Tue May 31 10:52:00 2016;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;TP-LINK_2.4GHz_3989D2;60:E3:27:39:89:D2;;13;No;WPA2,AES-CCM;No;48.0;0;7;0;0;0;0;0;;;Tue May 31 10:51:38 2016;Tue May 31 10:52:02 2016;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Orange-26BE;5C:DC:96:4E:26:C0;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;1;0;0;1;;;Tue May 31 10:51:58 2016;Tue May 31 10:51:59 2016;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Hostal Los Guerreros;DC:53:7C:8F:AB:D3;;13;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;7;0;2;0;0;2;;;Tue May 31 10:51:38 2016;Tue May 31 10:52:02 2016;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;MOVISTAR_476C;E0:41:36:40:47:6C;;6;No;WPA2,AES-CCM;No;54.0;0;6;0;1;0;0;1;;;Tue May 31 10:51:47 2016;Tue May 31 10:51:59 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ONO92F3;DC:53:7C:7B:3A:88;;9;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Tue May 31 10:51:42 2016;Tue May 31 10:52:06 2016;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;C150APM;00:22:F7:23:83:30;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Tue May 31 10:51:47 2016;Tue May 31 10:51:59 2016;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;vodafone0EDA;90:67:1C:79:0E:E0;;2;No;WPA2,AES-CCM;No;54.0;0;8;0;1;0;0;1;;;Tue May 31 10:51:39 2016;Tue May 31 10:52:03 2016;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
